time,ECG,EEG,HR,foot GSR,hand GSR,TEMP,SpO2,DustDensity,NoiseLevel,marker
0.0,-0.03,-0.0072,84.0,2.504,11.146,37.04376353215834,96.80697740196332,59.63914507364157,54.83868644887202,0
0.064516129032258,-0.026,-0.0033,84.0,2.512,11.136,37.00329022698225,97.142796944164,52.956070267263,53.85633906905963,0
0.1290322580645161,-0.016,0.0019,84.0,2.514,11.127,36.9903824777759,96.94513394097322,57.28431203389628,55.35873942444208,0
0.1935483870967742,-0.02,-0.003,84.0,2.519,11.116,36.94418633366452,96.79493811534272,53.48716429956021,55.123914325779786,0
0.2580645161290322,-0.395,-0.002,84.0,2.522,11.101,37.028623470302925,97.16852974975306,54.81647388179665,53.72474188213337,0
0.3225806451612903,0.007,-0.0109,84.0,2.524,11.086,37.00103464840013,96.99936755084232,55.98322487864247,53.90256140608271,0
0.3870967741935484,0.059,-0.0091,84.0,2.527,11.073,37.005417472343936,96.8616444956996,55.82756699087293,55.43990091914427,0
0.4516129032258064,0.047,-0.0022,84.0,2.531,11.057,37.04203740378586,97.2703033381307,57.122031645177074,56.24960893840625,0
0.5161290322580645,-0.025,-0.0056,84.0,2.529,10.999,37.00277909533007,96.9265920476558,52.8006203972311,56.78436853446631,0
0.5806451612903226,0.0,-0.0025,60.0,2.528,10.984,37.04914087397288,96.83413224612475,54.92305902192387,56.21349773402211,0
0.6451612903225806,0.008,-0.0023,60.0,2.527,10.966,36.995726322623895,96.66823918956833,52.59563348823431,53.230260076475126,0
0.7096774193548387,0.019,-0.0018,60.0,2.524,10.949,36.94947016306813,97.19089198612228,57.02956837666695,52.930245606867466,0
0.7741935483870968,-0.371,0.0001,60.0,2.523,10.931,36.9485125309164,97.0840759637869,55.59771072040463,61.98685203521812,0
0.8387096774193549,0.054,-0.0133,60.0,2.522,10.914,36.9642181180088,96.99447980557864,57.68208428801289,61.935387778693176,0
0.9032258064516128,0.058,-0.0035,60.0,2.521,10.896,37.00021478390547,96.84328595871366,55.41292366311586,63.52686708991491,0
0.967741935483871,0.031,0.0003,60.0,2.517,10.878,36.9875194493163,97.22084479391864,52.57459820245972,61.64773748671152,0
1.032258064516129,0.011,-0.0168,60.0,2.516,10.862,37.03768801678161,96.61472205275123,51.833384854685306,61.81962658809565,0
1.096774193548387,0.016,-0.0096,60.0,2.513,10.847,37.0053155420372,97.22430825847889,50.42386988120764,63.16134943408064,0
1.1612903225806452,0.01,-0.0092,60.0,2.511,10.832,36.99351376053354,97.00921554898298,47.38700210850303,60.43782637429529,0
1.2258064516129032,0.004,0.0004,60.0,2.503,10.8,36.99142325173607,97.09179109787132,47.5615255382552,63.5837009271947,0
1.2903225806451613,0.002,0.0095,60.0,2.501,10.785,36.9550076715594,96.7100410772385,49.1435508800495,62.93298062176207,0
1.3548387096774193,-0.334,0.0071,60.0,2.498,10.769,37.05773723242839,97.21590803559111,50.287669964568494,61.157934132029474,0
1.4193548387096775,0.004,-0.0076,44.0,2.494,10.754,37.00585686153944,96.75512300697643,52.59336108784655,60.90819097457703,0
1.4838709677419355,0.094,-0.0089,44.0,2.489,10.74,36.97249930124962,97.49252091259504,49.475592621842935,60.50581371395978,0
1.5483870967741935,0.113,-0.017,44.0,2.484,10.729,37.03289645417672,96.86309546581772,51.86072374313853,62.261074490628594,0
1.6129032258064515,0.071,-0.01,44.0,2.48,10.715,37.00076712156194,97.10394873409815,48.32013733572766,54.96002397010105,0
1.6774193548387095,0.139,-0.0078,44.0,2.475,10.704,36.99162687663616,97.20337920865894,47.87953732445183,55.19694363491136,0
1.7419354838709675,0.191,-0.0034,44.0,2.472,10.691,37.02300974419872,97.11387861962496,53.76751450405549,55.20520462738592,0
1.806451612903225,0.195,-0.0039,44.0,2.471,10.678,36.9717845092792,97.1684748980342,53.46389614559086,56.276572960108815,0
1.870967741935484,0.14,-0.0051,44.0,2.469,10.667,37.01124017676496,96.950014100581,54.14540882173287,54.9105762752472,0
1.935483870967742,0.15,0.0015,44.0,2.465,10.656,36.99084401541684,96.87927712531832,56.87376906184359,56.33129574861338,0
2.0,-0.171,-0.0135,44.0,2.461,10.644,37.048140075996,97.08940999508498,54.510710322277895,57.80512055685158,0
2.064516129032258,0.135,-0.0094,44.0,2.457,10.634,37.01111875749354,97.1069773300122,54.33402659948709,56.830345065518586,0
